username,chat,emotion,toxicity
Jape,-140,neutral,not toxic
Shizuwu,5,neutral,not toxic
neverland,80,neutral,not toxic
LikMaB#alls,88,neutral,not toxic
Iskiri,120,neutral,not toxic
neverland,120,neutral,not toxic
OGLSC#neil,120,neutral,not toxic
Bossy Baby #LUSHY,  don't worry about it,sad,not toxic
crmldr#ciel,  don't worry its all good,happy,not toxic
crmldr#ciel,  fucking bitch,anger,cyberbullying
OGD ToxicRadius#Toxic,  Good Half,happy,not toxic
metach#CXQG,  goodshit,happy,not toxic
SUPA H0T FIRE #6969,  It's okay this is just a game,sad,not toxic
crmldr#ciel,  nice kill,happy,not toxic
0,  quit valorant ka na.,anger,Gamesplaining
Jake Lockley #DEITY,  Save,neutral,not toxic
Maema#4541, ' stop playing valiant',anger,Gamesplaining
Maema#4541, ' wow nc aim carry me',happy,not toxic
Nek0#meoww,  youre so dumb,anger,cyberbullying
Nishimiya#lia,“just enjoy the game”,happy,not toxic
Nazzzzz #0503,Wag kana mag valorant,anger,Gamesplaining
LSGN MaysterJoe#3109," ""Backsitting phrases""",neutral,Gamesplaining
PZX KEN #EALYN," ""bullying""",neutral,cyberbullying
Maeve#whiff," ""can someone drop me?""",neutral,not toxic
Maeve#whiff," ""can you *insert ability* this *agent*?""",neutral,not toxic
TheMortalHowler #5460," ""Chill""",happy,not toxic
PZX KEN #EALYN," ""criticism""",neutral,not toxic
monami#00626," ""elegance"" ",neutral,not toxic
Dayangca#2390," ""GG""",neutral,not toxic
Vera Gaming #Dyan," ""GGWP!""",happy,not toxic
PZX KEN #EALYN," ""harassment"" ",neutral,cyberbullying
chiefZr0#6969," ""hello",happy,not toxic
chiefZr0#6969," ""hi""",happy,not toxic
Burgir #2001 ," ""idiot"" ",anger,cyberbullying
Astrox #tofu," ""it was fun playing with you all""",happy,not toxic
TheMortalHowler #5460," ""It's okay""",sad,not toxic
Vera Gaming #Dyan," ""Nice clutch!""",happy,not toxic
Blaztermoon #Sun," ""nice try"".",happy,not toxic
oyasumi#5643," ""noob""",anger,cyberbullying
TheMortalHowler #5460," ""Quit Valorant""",anger,cyberbullying
Chala #0112," ""shut the fuck up""",anger,cyberbullying
TheMortalHowler #5460," ""Stupid"".",anger,cyberbullying
purr purr#baby," ""Thankyou""",happy,not toxic
Beelzebub#fly," ""we'll get them attacker sound""",happy,not toxic
Donut #Sunfl," ""what the fuck so stupid""",anger,cyberbullying
Apollo #sol," ""yan ang sinasabi ko sayo",anger,not toxic
Vera Gaming #Dyan," ""You are so funny."" ""Wow! Battle Sage."" Your voice is beautiful.""",happy,not toxic
Primo #kari2," ""You better do something.""",anger,not toxic
icy#1724," ""you suck""",anger,cyberbullying
haha rly#lmao," ""yow chill bro""",happy,not toxic
shobe#hykw, (agent name) is flanking btw,neutral,Gamesplaining
chewu#LRRY, (agent) diff,sad,MM complaints
"hello, i dont have a valorant account na since binenta ko sya dahil wala na me nakakalaro pero pinagsisihan din", (AND GOOD CALL OUTS,neutral,not toxic
TWICE Dahyun#MDAA, (map callouts).,neutral,not toxic
master shifu#ken, (my agent) buff,sad,Game complaints
shobe#hykw, (smoker name) can u smoke heaven?,neutral,not toxic
kyo#yel, (women comments usually abt cooking),neutral,sexism
yawards #maraj, *agent name* save some for us,happy,not toxic
Soleil Cramoisi#SEUL, *agent name* what are you doing?,surprise,Blaming others
guiche#lorum, *agent name* yern,happy,not toxic
0, *asking for something with please*,neutral,not toxic
Teresa #Paula, *Blaming someone* Etc.,neutral,Blaming others
H3CCO2CH2CH3 #ester, *character name* diff,sad,MM complaints
McDanolds#Coke, *character* diff,sad,MM complaints
Nono#doggy, *I hope your mom dies* ,anger,cyberbullying
strawberry #mica, *INSERT AGENT NAME* DIFF,anger,MM complaints
Kenma#Zero, *laughs,happy,cyberbullying
amity#ars, *moans*,neutral,cyberbullying
ecniv#0405, *mostly backseating in an annoying manner*,neutral,RNG complaints
cogie#rei, *random curses ,neutral,cyberbullying
0, *some are the same as what I am seeing in valorant chatbox*,neutral,not toxic
0, *suggesting strategies without degrading another player*,neutral,not toxic
Leo #cal, *weird noises,neutral,RNG complaints
Bonnie#sweet, “Bobo amputa”,anger,cyberbullying
Nishimiya#lia, “dont panick,neutral,not toxic
Bonnie#sweet, “Nice game”,happy,not toxic
Nishimiya#lia, “nice job”,happy,not toxic
Bonnie#sweet, “Ns”,happy,not toxic
Bonnie#sweet, “Tanga”,surprise,cyberbullying
Nishimiya#lia, “well done”,happy,not toxic
Nishimiya#lia, “well played”,happy,not toxic
Nishimiya#lia, “you're doing great”,happy,not toxic
DaBoMi#mob1, 13-12 toh,happy,not toxic
Yuta #2934, 6v5 you fucking trash bot frag you should be the other teams mvp,anger,Gamesplaining
Burakdoy #0911, A,neutral,not toxic
baò#huáng, a fucking bitch,anger,sexism
baò#huáng, a fucking boosted egirl,anger,sexism
baò#huáng, a girl carry,happy,not toxic
crmldr#ciel, a lot more that i dont remember ,neutral,not toxic
Phoxsap#2223, a site,neutral,not toxic
shobe#hykw, a tayo,neutral,not toxic
Scrix#9697, AAAAA,anger,not toxic
Secrettt#shhh, about rank also,neutral,not toxic
shobe#hykw, accept me let's play.,happy,not toxic
Kagome#BigPP, account buyer ka ba,happy,MM complaints
Marius#9310, account buyer.,anger,MM complaints
スター#0714, ace,happy,not toxic
TBE Whack#cutie, add kita samahan mo ako next game,happy,not toxic
SungJinwoo#aceu, Addressing me as their mommy lmao,happy,not toxic
Lexgetit #LJC, afk,neutral,not toxic
Vanitas#Enzo, Afternoon,neutral,not toxic
yuzwmiski#euge, agent dif,sad,MM complaints
0, agent diff.,sad,MM complaints
Yuta #2934, aim labs is free,neutral,Gamesplaining
Bianx#whiff, Akin nalang yan,happy,not toxic
CN kaz#MKAZ, alabyu,happy,not toxic
onin#ekis, All G,neutral,not toxic
XH gelocin#jakem, all good,sad,not toxic
KPY Eru #001, all good,happy,not toxic
Summer #May, all good,sad,not toxic
Alysay#1004, all good,disgust,not toxic
CK03, amazing,happy,not toxic
Quokka#cola, ambobo mo naman,anger,cyberbullying
caly #cutie, ampota,surprise,cyberbullying
Primo #kari2," and ""GG f**k this team!""",anger,cyberbullying
celsius#urs, and also its rare to hear comms in low elos,neutral,not toxic
Nikephoros#0000, and also wishing death to my parents verbally.,neutral,cyberbullying
CHAOS Miku#ASTRA, and bro why are you sooooo good,happy,not toxic
SCE Hades #Riz, and fuck you.,anger,cyberbullying
Nikephoros#0000, and good game well played.,happy,not toxic
Neneng Makulit#tpcal, and Had fun playing with you.,happy,not toxic
Wiven#Vivid, and lastly youll do better next time.,happy,not toxic
Eris#akuma, and many more,neutral,not toxic
Squarton #luke, and nc,happy,not toxic
Primo #kari2, and Nice bait,anger,Gamesplaining
rakeel #likea, and nice kill,happy,not toxic
R0R0N0A Z0R0#1234, and SHEEESH,happy,not toxic
Neneng Makulit#tpcal, and slut,anger,Male preserve
Daga #mouse, and some are funny chats about the game,neutral,not toxic
elysiarson#bro, and some would also blow at their mics most of the time.,neutral,Gamesplaining
Asclepius #danic, and sometimes shouting into the mic,neutral,Gamesplaining
Potato#KIT, and stupid and other terms used by foreigners.,anger,cyberbullying
Going Merry#0428, ang b0b0 mo,anger,cyberbullying
NissanSilvia S15 #Panda, ang bano naman,disgust,cyberbullying
NissanSilvia S15 #Panda, ang bobo,anger,cyberbullying
Eris#akuma, ang bobo mo mag wall,anger,cyberbullying
Adult Hipster #6969, ang bobo mo naman,anger,cyberbullying
CN kaz#MKAZ, ang bobobo nyo,disgust,cyberbullying
Di ko tanda ign ko. Mag answer nalang ako hahaha, ang bobobo nyo,anger,cyberbullying
vyn#rei, ang galing ,surprise,not toxic
CN kaz#MKAZ, ang galing mo,happy,not toxic
TBE Whack#cutie, Ang galing mo,happy,not toxic
Cookie Crinkles#TSV, Ang lakas mo naman po.,surprise,not toxic
Eris#akuma, ang pabebe mo naman,anger,Male preserve
amity#ars, ang panget ng mama mo ang panget ng papa mo syempre ikaw di ka exempted tangina mo lintek kayo,anger,cyberbullying
strawberry #mica, ang sarap mo *insert agent name*,happy,not toxic
Jeeeeeelly #Ace, ang sarap mo po idols,happy,not toxic
Luna#Anne, ang tanga,disgust,cyberbullying
Vellium #3189, ang tanga,disgust,cyberbullying
A3SPA KyZ3N#00001, ang tanga mo,anger,cyberbullying
Shanice#111, ang tanga mo,anger,cyberbullying
Jeeeeeelly #Ace, ang tanga tanga mo,disgust,cyberbullying
MiAmoré#zoro, angas,surprise,not toxic
Boozy#182, Angas!,surprise,not toxic
Jeeeeeelly #Ace, animal ka,happy,cyberbullying
Fleur Du Soleil #Asura, anjing goblok ,happy,cyberbullying
kaorikoko #cry, ano na ,sad,not toxic
Naofumi#0721, ano na mga bubo kaya pa ba,anger,cyberbullying
bbkakai #catto, ano yan?,neutral,not toxic
Lwyslo#SMN, ano yon tanga,surprise,cyberbullying
Jsauce#1212, anong aim yan?,surprise,RNG complaints
ryuddaeng #jmkai, antanga mo,anger,cyberbullying
Zeai#AJMNB, antanga mo,anger,cyberbullying
DanaSoslar#abbie, antanga mo,anger,cyberbullying
draius #ラファエル, are you a smurf?,neutral,EBR complaints
Aendi #1108, are you deaf?,anger,cyberbullying
his toyo #womp, Are you fucking stupid,anger,cyberbullying
BBG chicken#jen, are you gay?,neutral,cyberbullying
XH gelocin#jakem, are you good bro?,neutral,cyberbullying
スター#0714, Area A,neutral,not toxic
スター#0714, Area B,neutral,not toxic
14th Element#6250, ass,anger,cyberbullying
Fry #Bait, asshole,anger,cyberbullying
Aiko#0425, asshole,anger,cyberbullying
krazyybeeeee#barbs, at bakit nabuhay ka pa ,anger,cyberbullying
krazyybeeeee#barbs, at it's just a game.,anger,not toxic
ego #1468, auto lock bobo naman,anger,cyberbullying
Danke Seb V5#0310, Awesome Work,happy,cyberbullying
Liyan #AX1A, ay babae,sad,sexism
AXR lampniibarra #RZCT, ay may babae pala dito oh,happy,sexism
emjaycee#ASTRO, AYE,happy,not toxic
SCE Sphynx#tin, ayos lang yan,sad,not toxic
Herakles #qqqqq, Ayusin mo tutok mo hindi kana sana nagvalorant,anger,Gamesplaining
Burakdoy #0911, B ,neutral,not toxic
Phoxsap#2223, b site,neutral,not toxic
shobe#hykw, b tayo,happy,not toxic
Raijin#0829, B),neutral,not toxic
Tap #0000, BABAE KA BA TALAGA?,anger,Male preserve
DaBoMi#mob1, babae ka ba?(HAHAsimps),happy,sexism
GKB Mochie#VIN, babae ka kasi,anger,Male preserve
DZADDY #TWICE, babae ka lang,anger,sexism
Tap #0000, BABAE KA?,happy,sexism
catseukki#WENZ, Babae ka?,happy,sexism
IV of Fade #OPM, babae ka? Ma-rape ka sana tanga ka,anger,sexism
egg #bonn, babae kasi,sad,sexism
Neneng Makulit#tpcal, babae kasi,sad,sexism
juice#1015, babae kasi eh,anger,sexism
Liyan #AX1A, babae moments,happy,sexism
