username,chat,sentiment,toxicity
GT BLACKSHEEP XIE,mb,sad,not toxic
GT BLACKSHEEP XIE,mb kj,sad,not toxic
GT BLACKSHEEP XIE,wp,happy,not toxic
GT BLACKSHEEP XIE,hahahaahaa,happy,not toxic
GT BLACKSHEEP XIE,noice HAHAHHAHAHA,happy,not toxic
GT BLACKSHEEP XIE,ns,happy,not toxic
GT BLACKSHEEP XIE,galing sheesh,happy,not toxic
GT BLACKSHEEP XIE,noice,happy,not toxic
GT BLACKSHEEP XIE,Neon wants Phantom!,neutral,not toxic
GT BLACKSHEEP XIE,Player 1 bought the Phantom for Player 2,neutral,not toxic
GT BLACKSHEEP XIE,ns,happy,not toxic
GT BLACKSHEEP XIE,ggs,happy,not toxic
GT BLACKSHEEP XIE,gg,sad,not toxic
GT BLACKSHEEP XIE,Neon NEEDS HEALING at A Lamps,neutral,not toxic
GT BLACKSHEEP XIE,nt,sad,not toxic
GT BLACKSHEEP XIE,Reyna has extra creds. Request a gun if you need it,neutral,not toxic
GT BLACKSHEEP XIE,I CAN DROP PI,happy,not toxic
GT BLACKSHEEP XIE,PALAKA ****** KA,anger,cyberbullying
GT BLACKSHEEP XIE,hahahahahha,disgust,not toxic
GT BLACKSHEEP XIE,EYY GAGOOOO,happy,cyberbullying
GT BLACKSHEEP XIE,HAHAHAHAHA,happy,not toxic
GT BLACKSHEEP XIE,ns,happy,not toxic
GT BLACKSHEEP XIE,galing sheeeesh,happy,not toxic
GT BLACKSHEEP XIE,nt,sad,not toxic
GT BLACKSHEEP XIE,nt,sad,not toxic
GT BLACKSHEEP XIE,gh,happy,not toxic
GT BLACKSHEEP XIE,gagaling hays,disgust,sarcasm
GT BLACKSHEEP XIE,Skye NEEDS HEALING at B Site,neutral,not toxic
GT BLACKSHEEP XIE,nice trade tho,disgust,not toxic
GT BLACKSHEEP XIE,nc,happy,not toxic
Iskiri,??????,disgust,not toxic
Iskiri,wtf,anger,cyberbullying
Iskiri,WOW,disgust,sarcasm
Iskiri,Ggs,happy,not toxic
Iskiri,WTF SKYE,anger,blaming others
Iskiri,ALL SITE,neutral,not toxic
Iskiri,suc vAT,disgust,cyberbullying
Iskiri,u gays,anger,sexism
Iskiri,SUC VAT,anger,cyberbullying
Iskiri,??,disgust,cyberbullying
Iskiri,NEVER BACK DOWN NEVER WHAT,anger,cyberbullying
Iskiri,NEVER BACK DOWN NEVER WHATNEVER BACK DOWN NEVER WHAT,anger,cyberbullying
Iskiri,NEVER BACK DOWN NEVER WHAT,anger,cyberbullying
Iskiri,reposition next time,sad,rng complaints
Iskiri,c,neutral,not toxic
Iskiri,This is fcked up,anger,RNG complaints
Iskiri,fr,disgust,not toxic
Iskiri,go sova,neutral,not toxic
Iskiri,Omen signals DANGER near B Site,neutral,not toxic
Iskiri,120,neutral,not toxic
Iskiri,nt,sad,not toxic
Iskiri,Omen wants Vandal,neutral,not toxic
Iskiri,Sova wants Vandal,neutral,not toxic
Iskiri,Omen bought the Vandal for Sova,neutral,not toxic
Iskiri,wtf,disgust,RNG complaints
Iskiri,nt,sad,not toxic
Iskiri,TF,anger,RNG complaints
Iskiri,thaat waas unlucky,sad,RNG complaints
Jape,no flash and go first,disgust,Gamesplaining
Jape,so good,happy,not toxic
Jape,great start guys lesgo!!!,happy,not toxic
Jape,its ok guys chill,neutral,not toxic
Jape,lets g ,happy,not toxic
Jape,1st round,disgust,not toxic
Jape,Raze signals DANGER near A Main,neutral,not toxic
Jape,I donï¿½t have dog,disgust,not toxic
Jape,Reyna signals DANGER near Mid Bottom,neutral,not toxic
Jape,Reyna thinks we should save Creds this round.,neutral,not toxic
Jape,nt,sad,not toxic
Jape,nt,sad,not toxic
Jape,I can drop one,happy,not toxic
Jape,Chamber is ON THE WAY to B Garage,neutral,not toxic
Jape,comms diff,disgust,MM complaints
Jape,??,disgust,not toxic
Jape,??,disgust,not toxic
Jape,2 heaven,neutral,not toxic
Jape,u didnï¿½t tell,disgust,blaming others
Jape,not me entry ?,disgust,blaming others
Jape,ok,disgust,not toxic
Jape,im about to go side when I heard ur satchel ,anger,blaming others
Jape,donï¿½t be a dumb,anger,rng complaints
Jape,fstg,anger,not toxic
Jape,fr fr,disgust,not toxic
Jape,frfr,disgust,not toxic
Jape,istg,anger,not toxic
Jape,Xd,happy,not toxic
Jape,-140,neutral,not toxic
Jape,I HOPE U GUYS WIN,anger,sarcasm
Jape,pls,sad,not toxic
Jape,Raze spotted an ENEMY in A,neutral,not toxic
Jape,??,anger,not toxic
Jape,KAY/O spotted the SPIKE in A,neutral,not toxic
Jape,PTUJ ANGIA NYMOWD,anger,cyberbullying
Jape,AMMATAY KNA PUTANIG NAMOKA,anger,cyberbullying
Jape,AMBOBO NYO GOAGO,anger,cyberbullying
Jape,SALITA NAMAN,anger,cyberbullying
Jape,SAN ANYUNG SALITA PUTANGIAN NAMAN,anger,cyberbullying
Jape,HIHINA,disgust,cyberbullying
XH CalypsoNYX,reyna dont crouch,disgust,rng complaints
XH CalypsoNYX,he aint a mind reader tho,neutral,sarcasm
XH CalypsoNYX,i thought you would smoke there,disgust,EBR complaints
XH CalypsoNYX,the animation was ongoing,neutral,not toxic
XH CalypsoNYX,mic is easy to press,neutral,sarcasm
XH CalypsoNYX,nc,happy,not toxic
XH CalypsoNYX,nc,happy,not toxic
XH CalypsoNYX,mb,neutral,not toxic
XH CalypsoNYX,gg,happy,not toxic
XH CalypsoNYX,nt,neutral,not toxic
XH CalypsoNYX,nt,sad,not toxic
XH CalypsoNYX,Gg,happy,not toxic
Shizuwu,nice line up,disgust,sarcasm
Shizuwu,85 on fade,neutral,not toxic
Shizuwu,HAHAHAHAHAHAHA,happy,not toxic
Shizuwu,NICE ONE,happy,not toxic
Shizuwu,XD,happy,not toxic
Shizuwu,u like my smoke,disgust,rng complaints
Shizuwu,deynmwaps,anger,not toxic
Shizuwu,gg,sad,not toxic
Shizuwu,ggs,happy,not toxic
Shizuwu,GGS,happy,not toxic
Shizuwu,ggg,sad,not toxic
