username,chat,is_self,emotion,toxicity
GT BLACKSHEEP XIE,mb,0,positive,positive
GT BLACKSHEEP XIE,mb kj,0,positive,positive
GT BLACKSHEEP XIE,wp,1,positive,positive
GT BLACKSHEEP XIE,hahahaahaa,1,positive,positive
GT BLACKSHEEP XIE,noice HAHAHHAHAHA,0,positive,positive
GT BLACKSHEEP XIE,ns,1,positive,positive
GT BLACKSHEEP XIE,galing sheesh,0,positive,positive
GT BLACKSHEEP XIE,noice,0,positive,positive
GT BLACKSHEEP XIE,Neon wants Phantom!,1,neutral,neutral
GT BLACKSHEEP XIE,Player 1 bought the Phantom for Player 2,1,neutral,neutral
GT BLACKSHEEP XIE,ns,1,positive,positive
GT BLACKSHEEP XIE,ggs,1,positive,positive
GT BLACKSHEEP XIE,gg,1,positive,positive
GT BLACKSHEEP XIE,Neon NEEDS HEALING at A Lamps,1,neutral,neutral
GT BLACKSHEEP XIE,nt,0,positive,neutral
GT BLACKSHEEP XIE,Reyna has extra creds. Request a gun if you need it,1,neutral,neutral
GT BLACKSHEEP XIE,I CAN DROP PI,0,neutral,neutral
GT BLACKSHEEP XIE,PALAKA ****** KA,0,negative,cyberbullying
GT BLACKSHEEP XIE,hahahahahha,0,positive,positive
GT BLACKSHEEP XIE,EYY GAGOOOO,1,negative,cyberbullying
GT BLACKSHEEP XIE,HAHAHAHAHA,0,positive,positive
GT BLACKSHEEP XIE,ns,1,positive,positive
GT BLACKSHEEP XIE,galing sheeeesh,0,positive,positive
GT BLACKSHEEP XIE,nt,0,positive,positive
GT BLACKSHEEP XIE,nt,1,positive,positive
GT BLACKSHEEP XIE,gh,1,positive,positive
GT BLACKSHEEP XIE,gagaling hays,1,positive,sarcasm
GT BLACKSHEEP XIE,Skye NEEDS HEALING at B Site,0,neutral,neutral
GT BLACKSHEEP XIE,nice trade tho,1,positive,neutral
GT BLACKSHEEP XIE,nc,1,positive,neutral
Iskiri,??????,0,negative,neutral
Iskiri,wtf,0,negative,cyberbullying
Iskiri,WOW,0,positive,sarcasm
Iskiri,Ggs,0,positive,positive
Iskiri,WTF SKYE,0,negative,blaming others
Iskiri,ALL SITE,0,neutral,neutral
Iskiri,suc vAT,0,negative,cyberbullying
Iskiri,u gays,0,negative,sexism
Iskiri,SUC VAT,0,negative,cyberbullying
Iskiri,??,0,negative,cyberbullying
Iskiri,NEVER BACK DOWN NEVER WHAT,0,negative,cyberbullying
Iskiri,NEVER BACK DOWN NEVER WHATNEVER BACK DOWN NEVER WHAT,0,negative,cyberbullying
Iskiri,NEVER BACK DOWN NEVER WHAT,0,negative,cyberbullying
Iskiri,reposition next time,0,positive,SPG complaints
Iskiri,c,0,neutral,neutral
Iskiri,This is fcked up,0,negative,RNG complaints
Iskiri,fr,0,positive,neutral
Iskiri,go sova,0,positive,positive
Iskiri,Omen signals DANGER near B Site,0,neutral,neutral
Iskiri,120,0,neutral,neutral
Iskiri,nt,0,positive,positive
Iskiri,Omen wants Vandal,0,neutral,neutral
Iskiri,Sova wants Vandal,0,neutral,neutral
Iskiri,Omen bought the Vandal for Sova,0,neutral,neutral
Iskiri,wtf,0,negative,RNG complaints
Iskiri,nt,0,positive,positive
Iskiri,TF,0,negative,RNG complaints
Iskiri,thaat waas unlucky,0,negative,RNG complaints
Jape,no flash and go first,0,negative,Gamesplaining
Jape,so good,0,positive,positive
Jape,great start guys lesgo!!!,0,positive,positive
Jape,its ok guys chill,0,positive,positive
Jape,lets g ,1,positive,positive
Jape,1st round,0,neutral,neutral
Jape,Raze signals DANGER near A Main,0,neutral,neutral
Jape,I don�t have dog,0,neutral,neutral
Jape,Reyna signals DANGER near Mid Bottom,0,neutral,neutral
Jape,Reyna thinks we should save Creds this round.,0,neutral,neutral
Jape,nt,0,positive,positive
Jape,nt,0,positive,positive
Jape,I can drop one,0,neutral,neutral
Jape,Chamber is ON THE WAY to B Garage,0,neutral,neutral
Jape,comms diff,1,negative,
Jape,??,1,negative,neutral
Jape,??,0,negative,neutral
Jape,2 heaven,0,neutral,neutral
Jape,u didn�t tell,1,neutral,blaming others
Jape,not me entry ?,0,neutral,blaming others
Jape,ok,0,neutral,neutral
Jape,im about to go side when I heard ur satchel ,1,neutral,blaming others
Jape,don�t be a dumb,1,negative,SPG complaints
Jape,fstg,1,neutral,neutral
Jape,fr fr,0,positive,positive
Jape,frfr,1,positive,positive
Jape,istg,0,neutral,neutral
Jape,Xd,1,positive,positive
Jape,-140,0,neutral,neutral
Jape,I HOPE U GUYS WIN,1,positive,sarcasm
Jape,pls,1,neutral,neutral
Jape,Raze spotted an ENEMY in A,0,neutral,neutral
Jape,??,1,negative,
Jape,KAY/O spotted the SPIKE in A,0,neutral,neutral
Jape,PTUJ ANGIA NYMOWD,1,negative,cyberbullying
Jape,AMMATAY KNA PUTANIG NAMOKA,1,negative,cyberbullying
Jape,AMBOBO NYO GOAGO,1,negative,cyberbullying
Jape,SALITA NAMAN,1,negative,cyberbullying
Jape,SAN ANYUNG SALITA PUTANGIAN NAMAN,1,negative,cyberbullying
Jape,HIHINA,1,negative,cyberbullying
XH CalypsoNYX,reyna dont crouch,,neutral,SPG complaints
XH CalypsoNYX,he aint a mind reader tho,,negative,sarcasm
XH CalypsoNYX,i thought you would smoke there,,neutral,EBR complaints
XH CalypsoNYX,the animation was ongoing,,neutral,neutral
XH CalypsoNYX,mic is easy to press,,positive,sarcasm
XH CalypsoNYX,nc,,positive,positive
XH CalypsoNYX,nc,,positive,positive
XH CalypsoNYX,mb,,positive,positive
XH CalypsoNYX,gg,,positive,positive
XH CalypsoNYX,nt,,positive,positive
XH CalypsoNYX,nt,,positive,positive
XH CalypsoNYX,Gg,,positive,positive
Shizuwu,nice line up,,positive,sarcasm
Shizuwu,85 on fade,,neutral,neutral
Shizuwu,HAHAHAHAHAHAHA,,positive,positive
Shizuwu,NICE ONE,,positive,positive
Shizuwu,XD,,positive,positive
Shizuwu,u like my smoke,,positive,SPG complaints
Shizuwu,deynmwaps,,negative,neutral
Shizuwu,gg,,positive,positive
Shizuwu,ggs,,positive,positive
Shizuwu,GGS,,positive,positive
Shizuwu,ggg,,positive,positive
Shizuwu,5,,neutral,neutral
Shizuwu,mid,,neutral,neutral
Shizuwu,waw,,positive,neutral
Shizuwu,ns,,positive,positive
Shizuwu,nc,,positive,positive
Shizuwu,thanks!,,positive,positive
Shizuwu,gg,,positive,positive
Shizuwu,gg,,positive,positive
Shizuwu,Bakla,,negative,sexism
Shizuwu,fuck u,,negative,cyberbullying
Shizuwu,woah,,positive,positive
Shizuwu,suck my dick,,negative,sexism
Shizuwu,amazing,,positive,sarcasm
Shizuwu,thats 1 screenshot,,neutral,neutral
Shizuwu,gg,,positive,positive
Shizuwu,:((,,negative,sarcasm
Shizuwu,3v5,,neutral,Game complaints
Shizuwu,gg,,positive,positive
Shizuwu,gg,,positive,positive
Shizuwu,nice game,,positive,positive
Shizuwu,gg,,positive,positive
Shizuwu,GG,,positive,positive
Shizuwu,gg,,positive,positive
Shizuwu,gg,,positive,positive
Shizuwu,g,,positive,neutral
Shizuwu,gg,,positive,positive
Shizuwu,g,,positive,neutral
Shizuwu,XD,,positive,positive
Shizuwu,lmaooo,,positive,sarcasm
Shizuwu,WHAT THE FUCK,,negative,cyberbullying
Shizuwu,HJAHAHASDHFHASD,,positive,neutral
Shizuwu,XD,,positive,positive
Shizuwu,gekko is NPC,,negative,cyberbullying
